"","Incident.Date","State","City.Or.County","Address","X..Killed","X..Injured","Operations","fullad","long","lat"
"1","December 31, 2017","Colorado","Littleton (Highlands Ranch)","3404 E County Line Rd",2,6,"N/A","3404 E County Line Rd ,  Littleton (Highlands Ranch) ,  Colorado","-104.9491766","39.565952"
"2","December 31, 2017","Illinois","Chicago","2335 Howard St",0,4,"N/A","2335 Howard St ,  Chicago ,  Illinois","-87.7071491","42.0191698"
"3","December 31, 2017","New Jersey","Long Branch","635 Wall St",4,0,"N/A","635 Wall St ,  Long Branch ,  New Jersey","-74.0029955","40.2925376"
"4","December 27, 2017","Nevada","Las Vegas","3750 E Bonanza Rd",2,2,"N/A","3750 E Bonanza Rd ,  Las Vegas ,  Nevada","-115.094234","36.175356"
"5","December 26, 2017","Florida","Miami","NW 18th Ave and 86th Ter",0,5,"N/A","NW 18th Ave and 86th Ter ,  Miami ,  Florida","-80.2276661","25.8532542"
"6","December 24, 2017","Mississippi","Vicksburg","1111 Mulberry Street",0,5,"N/A","1111 Mulberry Street ,  Vicksburg ,  Mississippi","NA","NA"
"7","December 24, 2017","Alabama","Troy","100 block of Chapman St",1,4,"N/A","100 block of Chapman St ,  Troy ,  Alabama","NA","NA"
"8","December 23, 2017","Louisiana","Eunice","100 block of City Avenue",1,3,"N/A","100 block of City Avenue ,  Eunice ,  Louisiana","-92.4152725","30.4940564"
"9","December 23, 2017","Alabama","Birmingham","3rd Ave N and 9th St N",0,4,"N/A","3rd Ave N and 9th St N ,  Birmingham ,  Alabama","-86.822006","33.509112"
"10","December 21, 2017","Louisiana","Lafayette","1500 block of N University Avenue",0,4,"N/A","1500 block of N University Avenue ,  Lafayette ,  Louisiana","-92.034816","30.2493275"
"11","December 21, 2017","Pennsylvania","Philadelphia","6600 block of Dorel St",1,3,"N/A","6600 block of Dorel St ,  Philadelphia ,  Pennsylvania","-75.2280071","39.9181327"
"12","December 16, 2017","Mississippi","Mc Cool (Mccool)","Ferguson Rd",0,4,"N/A","Ferguson Rd ,  Mc Cool (Mccool) ,  Mississippi","-89.4401956","33.1777395"
"13","December 15, 2017","California","Pacoima","13041 Jouett Street",0,5,"N/A","13041 Jouett Street ,  Pacoima ,  California","NA","NA"
"14","December 13, 2017","Ohio","Columbus","200 block of E Barthman Ave",1,3,"N/A","200 block of E Barthman Ave ,  Columbus ,  Ohio","-82.9899977","39.9240933"
"15","December 12, 2017","Kentucky","Louisville","17th and Gallagher Streets",0,4,"N/A","17th and Gallagher Streets ,  Louisville ,  Kentucky","-85.7836121","38.2389339"
"16","December 12, 2017","Texas","Garland","1301 Rivercrest Ln",0,4,"N/A","1301 Rivercrest Ln ,  Garland ,  Texas","-96.6059777","32.924382"
"17","December 9, 2017","Massachusetts","Boston","Proctor St",0,4,"N/A","Proctor St ,  Boston ,  Massachusetts","NA","NA"
"18","December 6, 2017","Illinois","Chicago","4620 N Broadway",0,4,"N/A","4620 N Broadway ,  Chicago ,  Illinois","-87.6577118","41.9655967"
"19","December 4, 2017","Pennsylvania","Pittsburgh","7200 block of Everton St",2,2,"N/A","7200 block of Everton St ,  Pittsburgh ,  Pennsylvania","-79.8934682","40.4632353"
"20","December 3, 2017","Tennessee","Memphis","656 Marshall Ave",1,3,"N/A","656 Marshall Ave ,  Memphis ,  Tennessee","NA","NA"
"21","December 2, 2017","Michigan","Detroit","5200 Woodward Avenue",0,4,"N/A","5200 Woodward Avenue ,  Detroit ,  Michigan","-83.0643655","42.3594422"
"22","November 30, 2017","Michigan","Detroit","11000 block of Gunston",1,4,"N/A","11000 block of Gunston ,  Detroit ,  Michigan","-82.9935991","42.4080996"
"23","November 24, 2017","Ohio","Cleveland","11618 Buckeye Rd",1,5,"N/A","11618 Buckeye Rd ,  Cleveland ,  Ohio","-81.6021777","41.4807147"
"24","November 24, 2017","Mississippi","Brookhaven","119 Martin Street",1,6,"N/A","119 Martin Street ,  Brookhaven ,  Mississippi","-90.4441907","31.5738871"
"25","November 18, 2017","Minnesota","Minneapolis","3600 block of Emerson Avenue North",0,4,"N/A","3600 block of Emerson Avenue North ,  Minneapolis ,  Minnesota","-93.293968","45.020489"
"26","November 17, 2017","Louisiana","New Iberia","900 Block of Mississippi St",0,4,"N/A","900 Block of Mississippi St ,  New Iberia ,  Louisiana","NA","NA"
"27","November 16, 2017","Georgia","Columbus","1400 block of 15th Street",0,7,"N/A","1400 block of 15th Street ,  Columbus ,  Georgia","-84.9713918","32.4744028"
"28","November 14, 2017","California","Corning","17357 Stagecoach Rd",6,12,"N/A","17357 Stagecoach Rd ,  Corning ,  California","-122.3930903","40.0187478"
"29","November 14, 2017","California","Richmond","900 Block of View Dr",2,2,"N/A","900 Block of View Dr ,  Richmond ,  California","-122.313528","37.977882"
"30","November 12, 2017","Indiana","Gary","4601 Melton Rd",0,7,"N/A","4601 Melton Rd ,  Gary ,  Indiana","-87.2812842","41.5949857"
"31","November 12, 2017","California","Fresno","S Calvin Ave",0,5,"N/A","S Calvin Ave ,  Fresno ,  California","-119.7348086","36.6822907"
"32","November 12, 2017","Georgia","Atlanta","50 Lower Alabama St",2,2,"N/A","50 Lower Alabama St ,  Atlanta ,  Georgia","-84.3896794","33.7518213"
"33","November 11, 2017","Texas","Dallas","2532 Martin Luther King Jr Blvd",1,3,"N/A","2532 Martin Luther King Jr Blvd ,  Dallas ,  Texas","-96.7706883","32.7666934"
"34","November 11, 2017","Louisiana","New Orleans","Forstall Street and Burgundy Street",1,5,"N/A","Forstall Street and Burgundy Street ,  New Orleans ,  Louisiana","-90.0221209","29.9602617"
"35","November 11, 2017","North Carolina","Fayetteville","2835 Bragg Blvd",1,5,"N/A","2835 Bragg Blvd ,  Fayetteville ,  North Carolina","-78.9278076","35.0736788"
"36","November 10, 2017","Ohio","Dayton (Trotwood)","193 Olive Rd",0,4,"N/A","193 Olive Rd ,  Dayton (Trotwood) ,  Ohio","NA","NA"
"37","November 9, 2017","Pennsylvania","Philadelphia","1800 block of Ringgold",0,4,"N/A","1800 block of Ringgold ,  Philadelphia ,  Pennsylvania","-75.1858023","39.9301234"
"38","November 5, 2017","Texas","Sutherland Springs","216 4th St",27,20,"N/A","216 4th St ,  Sutherland Springs ,  Texas","-98.0564879","29.2731606"
"39","November 4, 2017","Texas","Austin","N Lamar Blvd and Masterson Pass",0,4,"N/A","N Lamar Blvd and Masterson Pass ,  Austin ,  Texas","-97.6924185","30.37121"
"40","November 4, 2017","Ohio","Youngstown","2810 Market St",0,4,"N/A","2810 Market St ,  Youngstown ,  Ohio","-80.6582258","41.0710585"
"41","November 4, 2017","California","Santa Monica","1515 Ocean Avenue",1,3,"N/A","1515 Ocean Avenue ,  Santa Monica ,  California","-118.4954743","34.0125175"
"42","November 3, 2017","Minnesota","Minneapolis","10th Ave S and E 24th St",0,4,"N/A","10th Ave S and E 24th St ,  Minneapolis ,  Minnesota","-93.2600279","44.9591262"
"43","November 3, 2017","California","Gardena","E 163rd St and S Main St",0,4,"N/A","E 163rd St and S Main St ,  Gardena ,  California","-118.2758624","33.8838693"
"44","November 3, 2017","New York","Buffalo","147 Roosevelt Ave",0,4,"N/A","147 Roosevelt Ave ,  Buffalo ,  New York","NA","NA"
"45","November 3, 2017","Louisiana","Lacombe","27600 block of Mirmar Street",1,4,"N/A","27600 block of Mirmar Street ,  Lacombe ,  Louisiana","-89.942919","30.3093158"
"46","October 29, 2017","Texas","Austin","5500 block of Ave F",1,3,"N/A","5500 block of Ave F ,  Austin ,  Texas","-97.7196875","30.319956"
"47","October 28, 2017","Ohio","Toledo","1327 N Huron St",0,4,"N/A","1327 N Huron St ,  Toledo ,  Ohio","NA","NA"
"48","October 28, 2017","Virginia","Petersburg","N Sycamore St and Franklin",1,3,"N/A","N Sycamore St and Franklin ,  Petersburg ,  Virginia","NA","NA"
"49","October 27, 2017","Kentucky","Louisville","1716 Prentice St",0,6,"N/A","1716 Prentice St ,  Louisville ,  Kentucky","NA","NA"
"50","October 27, 2017","California","San Francisco","1100 block of Fillmore",0,4,"N/A","1100 block of Fillmore ,  San Francisco ,  California","-122.4317247","37.7798915"
"51","October 23, 2017","California","Clearlake Oaks","13000 block of Anchor Village",2,2,"N/A","13000 block of Anchor Village ,  Clearlake Oaks ,  California","-122.6610864","39.0242052"
"52","October 22, 2017","Connecticut","Hartford","Wethersfield Avenue and Elliott Street",0,4,"N/A","Wethersfield Avenue and Elliott Street ,  Hartford ,  Connecticut","-72.673327","41.7464242"
"53","October 22, 2017","Alabama","Lanett","1606 19th St Sw",2,7,"N/A","1606 19th St Sw ,  Lanett ,  Alabama","-85.2059236","32.8486138"
"54","October 21, 2017","Florida","Jacksonville","164 E Eubanks St",0,4,"N/A","164 E Eubanks St ,  Jacksonville ,  Florida","NA","NA"
"55","October 21, 2017","Tennessee","Nashville","1277 12th Ave S",0,4,"N/A","1277 12th Ave S ,  Nashville ,  Tennessee","NA","NA"
"56","October 21, 2017","Pennsylvania","Chester","1200 block of W Carlas Ln",0,4,"N/A","1200 block of W Carlas Ln ,  Chester ,  Pennsylvania","-75.3826072","39.8470906"
"57","October 21, 2017","Florida","Tampa","400 Block of E Nordica St",0,4,"N/A","400 Block of E Nordica St ,  Tampa ,  Florida","NA","NA"
"58","October 18, 2017","Maryland","Edgewood","2111 Emmorton Park Rd",3,3,"N/A","2111 Emmorton Park Rd ,  Edgewood ,  Maryland","-76.3099044","39.4520375"
"59","October 17, 2017","New York","Brooklyn","181 Martense St",0,4,"N/A","181 Martense St ,  Brooklyn ,  New York","-73.9529703","40.6517387"
"60","October 16, 2017","Mississippi","Meridian","5th Street",1,3,"N/A","5th Street ,  Meridian ,  Mississippi","-88.716761","32.360592"
"61","October 15, 2017","Texas","Houston","6233 Gulfton St",2,2,"N/A","6233 Gulfton St ,  Houston ,  Texas","-95.4915044","29.7159758"
"62","October 15, 2017","Arizona","Phoenix","107th Ave and Camelback Rd",1,3,"N/A","107th Ave and Camelback Rd ,  Phoenix ,  Arizona","NA","NA"
"63","October 12, 2017","California","Aliso Viejo","6 Asbury Ct",2,2,"N/A","6 Asbury Ct ,  Aliso Viejo ,  California","-117.7357567","33.5675062"
"64","October 11, 2017","Ohio","Pedro","15497 SR 93",4,0,"N/A","15497 SR 93 ,  Pedro ,  Ohio","NA","NA"
"65","October 10, 2017","California","San Francisco","25th St and Treat Ave",0,4,"N/A","25th St and Treat Ave ,  San Francisco ,  California","-122.4128627","37.7509769"
"66","October 9, 2017","Texas","Houston","3352 Old Spanish Trail",0,5,"N/A","3352 Old Spanish Trail ,  Houston ,  Texas","-95.372159","29.7011907"
"67","October 7, 2017","Arizona","Phoenix","87th Ave and Thomas Rd",0,4,"N/A","87th Ave and Thomas Rd ,  Phoenix ,  Arizona","-112.2464783","33.479751"
"68","October 6, 2017","Illinois","Chicago","8000 block of S Marshfield",0,5,"N/A","8000 block of S Marshfield ,  Chicago ,  Illinois","-87.6649489","41.748351"
"69","October 5, 2017","Arizona","Casa Grande","400 block of W 13th Street",4,0,"N/A","400 block of W 13th Street ,  Casa Grande ,  Arizona","-111.7573019","32.8854151"
"70","October 3, 2017","Florida","Miami","2051 NW 65th St",0,4,"N/A","2051 NW 65th St ,  Miami ,  Florida","NA","NA"
"71","October 1, 2017","Kansas","Lawrence","1000 block of Massachusetts St",3,2,"N/A","1000 block of Massachusetts St ,  Lawrence ,  Kansas","-95.235711","38.9654625"
"72","October 1, 2017","Nevada","Las Vegas","3950 Las Vegas Blvd S",59,441,"N/A","3950 Las Vegas Blvd S ,  Las Vegas ,  Nevada","-115.1750272","36.0908614"
"73","September 30, 2017","Tennessee","Memphis","800 block of Kerr Avenue",1,3,"N/A","800 block of Kerr Avenue ,  Memphis ,  Tennessee","-90.0358906","35.1071634"
"74","September 28, 2017","Louisiana","New Orleans","2001 N Rocheblave St",1,3,"N/A","2001 N Rocheblave St ,  New Orleans ,  Louisiana","-90.0647868","29.9814899"
"75","September 26, 2017","Tennessee","Memphis","2531 Chelsea Ave",0,4,"N/A","2531 Chelsea Ave ,  Memphis ,  Tennessee","-89.9727606","35.1741999"
"76","September 26, 2017","Maryland","Baltimore","3200 block of Lyndale Ave",2,2,"N/A","3200 block of Lyndale Ave ,  Baltimore ,  Maryland","-76.578385","39.31661"
"77","September 26, 2017","Pennsylvania","Philadelphia","100 block of Pastorius St",1,3,"N/A","100 block of Pastorius St ,  Philadelphia ,  Pennsylvania","-75.177497","40.043327"
"78","September 24, 2017","Maryland","Baltimore","500 block of E. Patapsco Avenue",0,4,"N/A","500 block of E. Patapsco Avenue ,  Baltimore ,  Maryland","NA","NA"
"79","September 24, 2017","New Jersey","Mays Landing","6000 block of Hoover Dr",1,3,"N/A","6000 block of Hoover Dr ,  Mays Landing ,  New Jersey","-74.7662728","39.4511646"
"80","September 24, 2017","Tennessee","Antioch","3890 Pin Hook Rd",1,8,"N/A","3890 Pin Hook Rd ,  Antioch ,  Tennessee","-86.58308","36.0468068"
"81","September 24, 2017","New York","Syracuse","1226 E Fayette St",0,4,"N/A","1226 E Fayette St ,  Syracuse ,  New York","-76.1304325","43.0481311"
"82","September 23, 2017","California","Bakersfield","818 Real Rd",1,4,"N/A","818 Real Rd ,  Bakersfield ,  California","-119.0432433","35.3657935"
"83","September 23, 2017","Illinois","Danville","Seminary St and Jackson St",0,5,"N/A","Seminary St and Jackson St ,  Danville ,  Illinois","-87.6273128","40.1303331"
"84","September 23, 2017","Connecticut","Hartford","1164 Albany Ave",2,2,"N/A","1164 Albany Ave ,  Hartford ,  Connecticut","-72.6958082","41.7821945"
"85","September 20, 2017","Indiana","Gary","4300 block of 23rd Ct",0,5,"N/A","4300 block of 23rd Ct ,  Gary ,  Indiana","-87.3903455","41.57554"
"86","September 17, 2017","Michigan","Detroit","5000 block of Stanton Street",1,3,"N/A","5000 block of Stanton Street ,  Detroit ,  Michigan","-83.0905192","42.3497679"
"87","September 17, 2017","Virginia","Petersburg","300 Mistletoe St",1,4,"N/A","300 Mistletoe St ,  Petersburg ,  Virginia","-77.4048035","37.2168154"
"88","September 16, 2017","South Carolina","Columbia","920 Lady Street",0,8,"N/A","920 Lady Street ,  Columbia ,  South Carolina","-81.0376867","34.0013022"
"89","September 13, 2017","Washington","Rockford","14626 S Jackson Rd",1,3,"N/A","14626 S Jackson Rd ,  Rockford ,  Washington","-117.196933","47.5195602"
"90","September 13, 2017","Pennsylvania","York","400 block of S Duke St",0,4,"N/A","400 block of S Duke St ,  York ,  Pennsylvania","-76.723059","39.957422"
"91","September 13, 2017","Pennsylvania","Philadelphia","3100 block of N 2nd St",0,4,"N/A","3100 block of N 2nd St ,  Philadelphia ,  Pennsylvania","-75.1332171","39.9973235"
"92","September 13, 2017","Tennessee","Memphis","1000 block of Morehead St",1,5,"N/A","1000 block of Morehead St ,  Memphis ,  Tennessee","-90.0251211","35.1680474"
"93","September 10, 2017","Louisiana","New Orleans","2101 N Claiborne Ave",1,3,"N/A","2101 N Claiborne Ave ,  New Orleans ,  Louisiana","-90.0583789","29.9736728"
"94","September 10, 2017","Texas","Plano","1712 West Spring Creek Parkway",9,1,"N/A","1712 West Spring Creek Parkway ,  Plano ,  Texas","-96.7275947","33.0565114"
"95","September 9, 2017","Alabama","Selma","Kings Bend Road",0,4,"N/A","Kings Bend Road ,  Selma ,  Alabama","-87.028715","32.3944732"
"96","September 6, 2017","Illinois","Chicago","2700 block of Madison",0,4,"N/A","2700 block of Madison ,  Chicago ,  Illinois","-87.694119","41.8813699"
"97","September 4, 2017","Illinois","Bellwood","1000 block of Bellwood Ave",0,4,"N/A","1000 block of Bellwood Ave ,  Bellwood ,  Illinois","-87.8780631","41.8742046"
"98","September 3, 2017","California","Inglewood","10100 block of S Firmona Ave",2,3,"N/A","10100 block of S Firmona Ave ,  Inglewood ,  California","-118.3569849","33.944386"
"99","September 2, 2017","Kentucky","Louisville","8008 Watterson Trail",0,4,"N/A","8008 Watterson Trail ,  Louisville ,  Kentucky","-85.621938","38.180619"
"100","September 2, 2017","Illinois","Chicago","8300 block of S Hermitage",1,3,"N/A","8300 block of S Hermitage ,  Chicago ,  Illinois","-87.667169","41.742758"
"101","August 28, 2017","New Mexico","Clovis","701 N Main St",2,4,"N/A","701 N Main St ,  Clovis ,  New Mexico","-103.20452","34.405263"
"102","August 27, 2017","California","Sacramento","7760 24th St",1,4,"N/A","7760 24th St ,  Sacramento ,  California","NA","NA"
"103","August 27, 2017","Indiana","Evansville","1127 Chestnut St",1,3,"N/A","1127 Chestnut St ,  Evansville ,  Indiana","-87.5601723","37.973151"
"104","August 25, 2017","Florida","Gainesville","1600 NE 8th Ave",0,4,"N/A","1600 NE 8th Ave ,  Gainesville ,  Florida","-82.3046666","29.6592077"
"105","August 24, 2017","Missouri","Saint Louis","10400 block of Balmoral Dr",4,0,"N/A","10400 block of Balmoral Dr ,  Saint Louis ,  Missouri","-90.2010733","38.754081"
"106","August 22, 2017","Illinois","Chicago","300 block of N Central Ave",0,4,"N/A","300 block of N Central Ave ,  Chicago ,  Illinois","-87.765465","41.885933"
"107","August 21, 2017","New Jersey","Newark","Fabyan Place",0,4,"N/A","Fabyan Place ,  Newark ,  New Jersey","-74.222108","40.7154265"
"108","August 21, 2017","New Jersey","Newark","700 block of S 19th St",1,3,"N/A","700 block of S 19th St ,  Newark ,  New Jersey","-74.2124371","40.7324693"
"109","August 21, 2017","Maryland","Baltimore","Cottage Avenue and Park Heights Avenue",1,3,"N/A","Cottage Avenue and Park Heights Avenue ,  Baltimore ,  Maryland","-76.6575222","39.3273326"
"110","August 21, 2017","North Carolina","Whitakers","980 Fishing Creek Rd",4,0,"N/A","980 Fishing Creek Rd ,  Whitakers ,  North Carolina","NA","NA"
"111","August 21, 2017","Tennessee","Memphis","262 Decatur St",0,4,"N/A","262 Decatur St ,  Memphis ,  Tennessee","-90.0259271","35.1471791"
"112","August 20, 2017","Illinois","Chicago","11901 S Loomis St",2,5,"N/A","11901 S Loomis St ,  Chicago ,  Illinois","-87.6560016","41.6768437"
"113","August 20, 2017","New York","Brooklyn","100th St and Ave M",0,4,"N/A","100th St and Ave M ,  Brooklyn ,  New York","-73.8910242","40.6386145"
"114","August 19, 2017","Ohio","Cleveland","11143 Superior Ave",1,4,"N/A","11143 Superior Ave ,  Cleveland ,  Ohio","NA","NA"
